category,top_keys
政治,"[('蓬佩奧', 22), ('陳時中', 13), ('蘇貞昌', 12), ('林佳龍', 11), ('柯志恩', 9), ('楊文科', 9), ('黃偉哲', 8), ('田中光', 7), ('鄭炳元', 7), ('吳釗燮', 6), ('彭揚凱', 5), ('鄭優', 5), ('戴維森', 4), ('賴清德', 4), ('Michael Pompeo', 3), ('余天', 3), ('蔡英文', 3), ('蔣萬安', 3), ('陳其邁', 3), ('黃慈婷', 3), ('鍾瀞儀', 3), ('謝蕓梃', 3), ('林為洲', 3), ('童振源', 3), ('藍鶯', 3), ('鄭弘儀', 2), ('侯友宜', 2), ('游錫堃', 2), ('王定宇', 2), ('泉裕泰', 2), ('安倍', 2), ('艾芮瓊', 1), ('何瑞萍', 1), ('Sharon Ho Swee Peng', 1), ('戴博斯', 1), ('林百科', 1), ('Sulistyono Tarno', 1), ('柏安卓', 1), ('Andrea Clare Bowman', 1), ('Balazs Szabo', 1), ('Neijon Rema Edwards', 1), ('德經', 1), ('Axel Limberg', 1), ('蘇迪佑', 1), ('田中光韓', 1), ('Philip Davidson', 1), ('蓬佩奧黃偉哲', 1), ('習近平', 1), ('余苑綺', 1), ('蘇巧慧', 1), ('余天三', 1), ('羅致政', 1), ('宋楚瑜', 1), ('鄧振中', 1), ('蔡清祥', 1), ('許光漢', 1), ('韓星BTS', 1), ('李大維', 1), ('王承中', 1), ('郭建伸', 1), ('柯建銘', 1), ('黃明昭', 1), ('陳唐山', 1), ('鳳梨乾', 1), ('裴洛西', 1), ('Nancy Pelosi', 1), ('黃珊珊', 1), ('鄭優投', 1), ('阿彌陀佛', 1), ('裴偉', 1), ('童燕珍', 1), ('劉秋芳', 1), ('陳其邁柯志恩', 1), ('陳其邁國', 1), ('陳耀雄', 1), ('李筱華', 1), ('李進勇', 1), ('陳俊華', 1), ('黃行德', 1), ('振源', 1), ('王德交', 1), ('Ingrid Larson', 1), ('Rorry Daniels', 1), ('庫克', 1), ('Jenny Bloomfield', 1), ('蟹江憲史', 1), ('丹尼爾斯', 1), ('露珍怡', 1), ('Nerissa Cook', 1), ('樊亞倫', 1), ('珍怡', 1)]"
科技,"[('迪莫弗斯', 14), ('阿騰葉夫', 4), ('伊恩', 4), ('克利斯托佛瑞提', 3), ('迪迪莫斯', 3), ('克利斯托佛瑞', 2), ('洪偉淦', 2), ('廖仁祥', 2), ('赫斯', 2), ('季辛格', 2), ('陳憶寧', 2), ('布里塞特', 2), ('波瑞索夫', 2), ('盧比歐', 2), ('Samantha Cristoforetti', 1), ('克利斯托佛瑞提曾', 1), ('Oleg Artemyev', 1), ('米爾科維奇', 1), ('Katarina Miljkovic', 1), ('朱原嘉', 1), ('丁樂恩', 1), ('Jim Free', 1), ('佛里', 1), ('尼爾森', 1), ('佛里NASA', 1), ('Matthias Huss', 1), ('Michelle Johnston Holthaus', 1), ('霍特豪斯', 1), ('張曉強', 1), ('葛雷茲', 1), ('Lori Glaze', 1), ('韋伯', 1), ('NASA', 1), ('史泰勒', 1), ('Didymos', 1), ('Tom Statler', 1), ('中村', 1), ('中村智樹', 1), ('iPhone ', 1), ('烏斯頓', 1), ('Beyza Ustun', 1), ('Jackie Blissett', 1), ('Yuri Borisov', 1), ('蒲亭', 1), ('Dmitry Rogozin', 1), ('羅戈辛', 1), ('普羅柯皮耶夫', 1), ('格林', 1), ('Sergey Prokopyev', 1), ('Frank Rubio', 1), ('Dmitry Petelin', 1), ('佩捷林', 1), ('Vladimir Putin', 1), ('馬雅', 1)]"
運動,"[('王柏融', 21), ('黃暐傑', 11), ('谷毛唯嘉', 8), ('陳偉殷', 8), ('林岳平', 7), ('賈吉', 6), ('奧特羅', 6), ('林智勝', 6), ('戴維斯', 6), ('林書逸', 5), ('王偉祥', 5), ('曾文鼎', 5), ('林昀儒', 5), ('郭嚴文', 4), ('馬瑞斯', 4), ('楊昆弼', 4), ('胡智為', 3), ('蔡齊哲', 3), ('劉志威', 3), ('劉孟竹', 3), ('張樹人', 3), ('鄧儒宗', 3), ('王維中', 2), ('李凱威', 2), ('德保拉', 2), ('陳文杰', 2), ('洪健堯', 2), ('蔣淯安', 2), ('蔡尚樺', 2), ('羅德', 2), ('Aaron Judge', 2), ('林泓育', 2), ('王正棠', 2), ('谷德溫', 2), ('布里悍', 2), ('偉關晴光', 2), ('味全龍王維', 1), ('Rainel Rosario', 1), ('胡智', 1), ('葉總', 1), ('鄭凱文', 1), ('郭阜林', 1), ('羅薩', 1), ('Dylan Covey', 1), ('Jose De Paula', 1), ('朱育賢', 1), ('陳晨威', 1), ('林智平', 1), ('林承飛', 1), ('林哲瑄', 1), ('陳宥蓁', 1), ('林韋翰', 1), ('錢韋成', 1), ('谷毛', 1), ('曹薰襄', 1), ('錢薇娟', 1), ('選秀制', 1), ('聖傑曼', 1), ('馬斯克', 1), ('豪頓', 1), ('吉見', 1), ('王建民', 1), ('張建銘', 1), ('陽岱鋼', 1), ('查普曼', 1), ('Travis Chapman', 1), ('賈吉賽後', 1), ('Tim Mayza', 1), ('邦茲', 1), ('卡布瑞拉', 1), ('Miguel Cabrera', 1), ('Babe Ruth', 1), ('Matt Buschmann', 1), ('貝比魯斯', 1), ('Barry Bonds', 1), ('Roger Maris', 1), ('布希曼', 1), ('大谷翔平', 1), ('Dalton Kelly', 1), ('凱利', 1), ('運動家隊索德斯壯', 1), ('劉致榮', 1), ('陳聖平', 1), ('賈吉達', 1), ('MLB紐約洋基', 1), ('李振昌', 1), ('陳子豪', 1), ('周思齊', 1), ('許基宏', 1), ('黃恩賜', 1), ('Andy Otero', 1), ('王威晨', 1), ('戴培峰', 1), ('Brian Goodwin', 1), ('林凱威', 1), ('Jake Brigham', 1), ('張進德', 1), ('王勝偉', 1), ('布里', 1), ('劉宛渝', 1), ('田家榛', 1), ('林怡君', 1), ('美馬學', 1), ('Renato Nunez', 1), ('努涅斯', 1), ('清宮幸太郎', 1), ('黃怡樺', 1), ('廖振珽', 1), ('彭王維', 1), ('陳思羽', 1), ('鄭怡靜', 1), ('莊智淵', 1), ('劉馨尹', 1), ('黃彥誠', 1), ('李昱諄', 1), ('戴維斯戴維斯小百科戴維斯', 1), ('Quincy Davis', 1), ('新北國王', 1)]"
證卷,"[('容逸燊', 9), ('張振山', 6), ('程曦', 3), ('張水江', 2), ('陳怡如', 2), ('吳繼先', 2), ('馬健喬', 1), ('葉淑芳', 1), (' 如興', 1), ('洪佩君', 1), ('楊培傑', 1), ('翁紹華', 1), ('顧啟東', 1), ('馬潤明', 1), ('興偉豪', 1), ('紀宗明', 1)]"
產經,"[('李宜真', 8), ('張子敏', 8), ('莫德納', 7), ('唐邦正', 6), ('楊金龍', 5), ('何世昌', 4), ('莊琇媛', 3), ('蔡壁如', 3), ('謝世謙', 2), ('吳政忠', 2), ('陳國樑', 2), ('胡則華', 2), ('阮氏香', 2), ('賴弦五', 2), ('鄭子銘', 2), ('Patrick Bergstedt', 1), ('柏格斯泰特', 1), ('台捷', 1), ('莫尼爾', 1), ('游錫堃', 1), ('Ihssane Mounir', 1), ('唐鳳', 1), ('蔡清祥', 1), ('吳宗信', 1), ('張其祿', 1), ('邱臣遠', 1), ('童政彰', 1), ('林志憲', 1), ('Nguyen Thi Huong', 1), ('Joe Biden）', 1), ('朱曉幸', 1), ('王維菁', 1), ('蘇思云', 1), ('王正嘉', 1), ('林東閔', 1), ('林之晨', 1), ('江明晏', 1), ('李南玫', 1)]"
娛樂,"[('紀曉君', 14), ('張曼玉', 10), ('許瑋甯', 9), ('聞天祥', 9), ('關錦鵬', 8), ('曾國城', 8), ('廖家儀', 7), ('袁惟仁', 7), ('吳慷仁', 7), ('姚坤君', 6), ('陳文茜', 6), ('阮玲玉', 6), ('姚元浩', 6), ('唐綺陽', 6), ('韋禮安', 6), ('李安', 6), ('林煥鈞', 5), ('澤倫斯基', 5), ('吳映潔', 5), ('伍佰', 5), ('林心如', 5), ('羅巧倫', 4), ('陳仙梅', 4), ('曾寶儀', 4), ('林志玲', 4), ('小棣', 3), ('王小棣', 3), ('酷力歐', 3), ('張孝全', 3), ('庹宗康', 3), ('浩子', 3), ('秀秀', 3), ('江宜蓉', 3), ('郭雪芙', 3), ('謝欣穎', 3), ('楊謹華', 3), ('胡德夫', 2), ('張耀仁', 2), ('黃雪琴', 2), ('李哲言', 2), ('林佳辰', 2), ('周子翔', 2), ('蔡琴', 2), ('紀寶如', 2), ('林晨曦', 2), ('賈靜雯', 2), ('波希', 2), ('莎莎', 2), ('炎亞綸', 2), ('志玲', 2), ('AKIRA', 2), ('薛仕凌', 2), ('張艾嘉', 2), ('陳為民', 2), ('阿朱媽', 2), ('葛盈瑄', 1), ('MyVideo', 1), ('張繼聰', 1), ('黃衍仁', 1), ('袁澧林', 1), ('何豪傑', 1), ('吳皓昇', 1), ('阿平', 1), ('周祖安', 1), ('Ozone', 1), ('黃文廷', 1), ('吳小帽', 1), ('Olga Tokariuk', 1), ('Volodymyr Zelenskyy', 1), ('陳映妤', 1), ('敏迪', 1), ('奧爾加', 1), ('郭台銘', 1), ('莫子儀', 1), ('李程彬', 1), ('顏聖華', 1), ('李霈瑜', 1), ('慷仁', 1), ('Artis Leon Ivey Jr', 1), ('Thief', 1), ('蜜雪兒菲佛', 1), ('Grammy Awards', 1), ('Jarez Posey', 1), ('Pastime Paradise', 1), ('Fantastic Voyage', 1), ('史提夫汪達', 1), ('亞提斯．李昂．艾維', 1), ('Stevie Wonder', 1), ('李子雄', 1), ('王家衛', 1), ('葉童', 1), ('秦漢', 1), ('梅豔芳', 1), ('梅艷芳', 1), ('劉嘉玲', 1), ('梁家輝', 1), ('吳啟華', 1), ('伍佰伍佰', 1), ('伍佰 & China Blue', 1), ('曾國寶', 1), ('周潤發', 1), ('玉嬌龍', 1), ('楊紫瓊', 1), ('黑澤良平', 1), ('何書銘', 1), ('游安順', 1), ('鄭東煥', 1), ('林詹珍', 1), ('于子育', 1), ('鄭秀文', 1), ('尹馨', 1), ('羅卓瑤', 1), ('毛舜筠', 1), ('曾英庭', 1), ('柯震東', 1), ('楊麗音', 1), ('李國煌', 1), ('劉國瑞', 1), ('許乃涵', 1), ('宋柏緯', 1), ('方郁婷', 1), ('阮經天', 1), ('碧雲天', 1), ('黃秋生', 1), ('蔡凡熙', 1), ('林家棟', 1), ('王渝萱', 1), ('胡智強', 1), ('蔡明亮', 1), ('孔慶輝', 1), ('李夢苡樺', 1), ('金玄彬', 1), ('張作驥', 1), ('李沐', 1), ('欣穎', 1), ('黃宏達', 1), ('黃子佼', 1), ('華燈', 1)]"
生活,"[('鄭英傑', 9), ('黃恩鴻', 7), ('范孝倫', 5), ('柯建銘', 4), ('張永昌', 4), ('郭貞慧', 3), ('吳林輝', 3), ('王必勝', 3), ('蘇貞昌', 2), ('周士弼', 2), ('張志隆', 2), ('鄭智鴻', 1), ('卓瓊華', 1), ('賴基銘', 1), ('黃玉成', 1), ('麗娜輪', 1), ('沈伯洋', 1), ('高虹', 1), ('高虹安', 1), ('陳婕翎', 1), ('沈佩瑤', 1), ('蔡鴻文', 1), ('財神爺', 1), ('洛克', 1)]"
國際,"[('達賴喇嘛', 10), ('柯維立', 10), ('勃恩斯', 10), ('賀錦麗', 9), ('艾米尼', 9), ('伊恩', 8), ('蒲亭', 8), ('馬克宏', 8), ('穆哈瑪迪', 7), ('培斯科夫', 6), ('哈維斯托', 5), ('尹錫悅', 3), ('王毅', 3), ('布林肯', 3), ('波特紹', 3), ('哈梅迪', 3), ('Dmitry Peskov', 3), ('Zaporizhzhia', 3), ('格哈茲', 3), ('杜索普', 3), ('拜登', 2), ('Antony Blinken', 2), ('米庫斯卡', 2), ('Svenska Dagbladet', 2), ('Vladimir Putin', 2), ('康姆菲魯齊', 2), ('Luhansk', 2), ('札波羅熱', 2), ('頓內茨克', 2), (' 蒲亭', 2), ('裴洛西', 2), ('Pekka Haavisto', 2), ('井筒俊司', 2), ('柏納', 2), ('卡斯威爾', 2), ('Kamala Harris）', 1), ('山崎幸二', 1), ('達賴尊者', 1), ('班禪喇嘛', 1), ('Ron DeSantis', 1), ('勃德', 1), ('Terri Byrd', 1), ('維文', 1), ('李顯龍', 1), ('黃循財', 1), ('James Cleverly', 1), ('王毅王毅', 1), ('Hans Liwang', 1), ('里旺', 1), ('Grzegorz Poznanski', 1), ('Radoslaw Sikorski', 1), ('Mateusz Morawiecki', 1), ('Arnold Dupuy', 1), ('范德賴恩', 1), ('Ursula Von der Leyen', 1), ('席科斯基', 1), ('德普易', 1), ('莫拉維茨奇', 1), ('Joanna Przedrzymirska', 1), ('Kristoffer Bottzauw', 1), ('朱考夫斯基', 1), ('Warminsko-Mazury', 1), ('布里澤德米斯卡', 1), ('Anna Mikulska', 1), ('Deutsche Welle', 1), ('波茲南斯基', 1), ('Sebastian Zukowski', 1), ('Nilufar Hamedi', 1), ('Elahe Mohammadi', 1), ('Mohammad Ali Kamfirouzi', 1), ('伊文', 1), ('Mahsa Amini', 1), ('Ham Mihan', 1), ('伊朗道德', 1), ('Shargh', 1), ('曼蘇爾', 1), ('Sherif Mansour', 1), ('。克宮', 1), ('Annalena Baerbock', 1), ('貝爾伯克', 1), ('Dnipro', 1), ('裴洛西彭博', 1), ('安倍晉三時', 1), ('Kamala Harris', 1), ('Nancy Pelosi', 1), ('Nicholas Burns', 1), ('特筆戰', 1), ('Kherson', 1), ('拉森', 1), ('烏克蘭赫松', 1), ('Jenny Larsson', 1), ('哈茲', 1), ('Ingo Gerhartz', 1), ('培斯科夫克宮', 1), ('Les Patriotes', 1), ('Florian Philippot', 1), ('Élisabeth Borne', 1), ('弗和', 1), ('菲里波', 1), ('馬克宏馬克宏', 1), ('Olivier Faure', 1), ('Olivier Dussopt', 1), ('David Maddocks', 1), ('Celeste Carswell', 1), ('馬斯克', 1), ('戴森', 1), ('特馬斯克', 1), ('馬杜克斯', 1)]"
社會,"[('林智堅', 19), ('林秉樞', 12), ('高嘉瑜', 12), ('余正煌', 10), ('李朝卿', 8), ('顏政德', 7), ('陳政忠', 7), ('林男', 4), ('陳男', 4), ('楊植斗', 4), ('周玉蔻', 3), ('楊男', 3), ('林信吾', 3), ('江振亨', 3), ('蔡男', 2), ('蘇金章', 2), ('嘉檢', 2), ('李誠智', 2), ('洪若珊', 2), ('李婦諭令', 1), ('陳屍女', 1), ('顏男', 1), ('四審', 1), ('維法治', 1), ('曾威凱', 1), ('張祐齊', 1), ('潘文忠', 1), ('吳俊達', 1), ('鄭運鵬', 1), ('林信吾外', 1), ('許鼎暉', 1), ('彭婦', 1)]"
文化,"[('洪瑞麟', 15), ('廖瓊枝', 12), ('拉赫瑪尼諾夫', 7), ('湯姆漢克斯', 5), ('黃騰輝', 5), ('謝如欣', 5), ('李永得', 5), ('陳其邁', 4), ('張正傑', 4), ('吳曜宇', 4), ('林宏義', 4), ('上帝', 4), ('李小平', 3), ('葉澤山', 3), ('許有仁', 3), ('麥洛', 3), ('莫子儀', 3), ('趙德胤', 3), ('蔡慧盈', 3), ('蒲亭', 3), ('張孟逸', 2), ('陳三五娘', 2), ('黃偉哲', 2), ('蕭宗煌', 2), ('戴君芳', 2), ('李存勗', 2), ('唐美雲', 2), ('狄米崔．馬斯里夫', 2), ('馬斯里夫', 2), ('鄭愁予', 2), ('廖仁義', 2), ('吳可熙', 2), ('雷特', 2), ('虞戡平', 2), ('莫瑞欽', 2), ('馮光中', 2), ('姜汝玫', 2), ('陳春蘭', 2), ('魏秋宜', 2), ('梁祝', 2), ('許智彥', 2), ('李連權', 2), ('洪鈞雄', 2), ('洪世佑', 2), ('史哲', 1), ('陳其邁柯志恩', 1), ('張以理', 1), ('詹子晴', 1), ('柯志恩', 1), ('周東彥', 1), ('園林', 1), ('紀慧玲', 1), ('江亭瑩', 1), ('王台玲', 1), ('柯銘峰', 1), ('賴清德', 1), ('高敏修', 1), ('黃敬中', 1), ('魏維德', 1), ('陳昱榮', 1), ('李宜亞', 1), ('黃婷毓', 1), ('馬郁芳', 1), ('邵士銘', 1), ('張逸', 1), ('黃彥勳', 1), ('吳修銘', 1), ('趙雪君', 1), ('李存孝', 1), ('唐文華', 1), ('唐莊宗李存勗', 1), ('李克用', 1), ('京崑', 1), ('盛鑑', 1), ('黃宇琳', 1), ('李家德', 1), ('溫宇航', 1), ('Instagram', 1), ('湯姆', 1), ('Tom Hanks', 1), ('張芝庭', 1), ('蘇顯達', 1), ('徐曉虹', 1), ('高雄場', 1), ('廖皎含', 1), ('蔣啟真', 1), ('陳文忠', 1), ('姜梅紅', 1), ('吳品叡', 1), ('潘瑋茵', 1), ('嘉藝', 1), ('翁章梁', 1), ('文佳煐', 1), ('朱靜', 1), ('黃寅燁', 1), ('李修豪', 1), ('Yaongyi', 1), ('角川', 1), ('車銀優', 1), ('徐頌仁', 1), ('Dmitry Masleev', 1), ('俄羅斯柴可夫斯基', 1), ('馬利歐．凡薩戈', 1), ('蕭頌', 1), ('Mario Venzago', 1), ('范婷玉', 1), ('初安民', 1), ('楊風', 1), ('劉曉頤', 1), ('蘇紹連', 1), ('莫渝', 1), ('Simon Preker', 1), ('魏德聖', 1), ('Marli Quadros Leite', 1), ('佩瑞克', 1), ('Cecilia Mello', 1), ('李中', 1), ('劉國華', 1), ('楊智麟', 1), ('Eduardo Morettin', 1), ('廖錦祥', 1), ('洪一峰', 1), ('林昭安', 1), ('馬文才', 1), ('陳宇文', 1), ('許栢昂', 1), ('劉秀庭', 1), ('陳昭婷', 1), ('吳米娜', 1), ('宋厚寬', 1), ('王婕菱', 1), ('劉文奇', 1), ('吳子敬', 1), ('楊世暄', 1), ('Sakinu阿輝', 1), ('洪佩瑜', 1), ('林凱裕', 1), ('蘇揚庭', 1), ('竺定誼', 1), ('楊世豪', 1), ('泰戈爾', 1), ('侵烏', 1), ('倪蔣懷', 1), ('林曉瑜', 1), ('洪宜玲', 1), ('李彥良', 1), ('岩素芬', 1), ('南洋', 1), ('Vladimir Putin', 1), ('張若瑤', 1), ('特拉斯', 1), ('陳薇雯', 1), ('伊麗莎白', 1), ('陳韻聿', 1), ('周永捷', 1), ('林宏翰', 1), (' 哈囉查爾斯', 1)]"
