item_id|date|category|title|content|link|photo_link
aipl_20220929_1|2022-09-29|政治|台灣國際漁業展、智慧農業週開幕 逾15國參展|外交部政次田中光今天出席2022年「台灣國際漁業展」與「台灣智慧農業週」聯合開幕儀式，他表示，今年有超過15國約270家廠商參展，展覽規模、參展國家與國內外廠商均逐年增加。多位駐台使節今天出席展覽，包括馬紹爾群島大使艾芮瓊（Neijon Rema Edwards）、聖文森及格瑞那丁大使柏安卓（Andrea Clare Bowman）、德經辦事處長林百科（Axel Limberg）、馬來西亞友誼及貿易中心代表何瑞萍（Sharon Ho Swee Peng）、駐台北印尼經濟貿易代表處貿易主任蘇迪佑（Sulistyono Tarno）、匈牙利貿易辦事處商務投資主任戴博斯（Balazs Szabo）等。田中光表示，台灣智慧農業週暨台灣國際漁業展是台灣農、漁產業界的國際性嘉年華展覽，已邁向第8年，展覽規模、參展的國家與國內外廠商均逐年增加，感謝參展廠商及產學研究機構的努力，將台灣農、漁業優質產品及技術在國際展覽中呈現。訂閱《早安世界》電子報 每天3分鐘掌握10件天下事 請輸入正確的電子信箱格式訂閱感謝您的訂閱！田中光指出，今年有超過15個國家、大約270家廠商參展，其中包括吐瓦魯國大使館、巴布亞紐幾內亞駐台商務代表處、聖文森及格瑞那丁大使館、史瓦帝尼王國大使館、匈牙利貿易辦事處的參展攤位，感謝國際廠商以及外交團的參與，使展覽更具國際性及異國風采。田中光表示，在世界經濟受到COVID-19疫情嚴重衝擊下，這項實體展覽，就像是台灣版的「農、漁業經貿泡泡」，期盼透過大家努力經營，使展覽規模更形壯大。田中光韓駐台代表：台韓半導體業緊密相連使彼此獲益印尼舉辦國慶酒會 駐台代表盼深化與台經貿關係|https://www.cna.com.tw/news/aipl/202209290375.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20220929/1024x768_20220929000213.jpg
aipl_20220929_2|2022-09-29|政治|中國若攻台  蓬佩奧：愛好自由者不會被征服|兩岸局勢緊張，前美國國務卿蓬佩奧接受媒體專訪認為，一旦中國攻台，他相信中國會失敗，愛好自由的人不會被中國征服，此外，他也建議，台灣應該與區域國家結為盟友，藉此形成強固防禦。蓬佩奧（Michael Pompeo）26日搭機抵台訪問，他接受三立電視台「鄭知道了」節目主持人鄭弘儀專訪。針對前美國印太司令部司令戴維森（Philip Davidson）曾預言，2027年中國可能攻打台灣；蓬佩奧指出，戴維森的時間表是正確的，但大家不能認為這不會變，還是能做些什麼來改變這個時間表，並且改變中國國家主席習近平的想法。蓬佩奧說，美國跟台灣能一起完成，可以傳遞一個威懾的訊息，防止戴維森所預測2027年可能會發生的事，「我們可以避免的」。鄭弘儀詢問，有哪些事可以做；蓬佩奧提出論述，包括確保台灣人在保衛自由時，得到足夠的資源，所以當台灣說需要特定的武器，美方應該要提供，「當你們需要情報時，我們也應該要提供」。蓬佩奧強調，這個「我們」其實不僅是美國，日本、南韓、澳洲都是區域的盟友，這包含軍事因素、堅強的網路防禦，這些都是工具。蓬佩奧說，應該跟所有區域的夥伴結盟，像是戴維森確切的提到印太區域，這非常重要。如果中國一旦攻佔台灣，國際情勢會怎麼演變；蓬佩奧指出，很難知道後果是什麼，但他相信中國共產黨會失敗，愛好自由的人不會被中國共產黨征服。蓬佩奧認為，台灣防禦範圍必須包含情報跟網路攻擊，必須確保系統是準備好的，可以抵禦中國的網路攻擊；觀察中國共產黨的行為，要想的不僅是傳統的系統，像是軍隊之類，而是要想到網路資訊空間，因此要能確實掌握，確保彼此分享資訊橫跨整個地區，以及提供需要的防禦。蓬佩奧也說，他認為拜登政府將會持續提供台灣所需的武力系統，而軍售本身的重要性更是無可比擬。對於中國派大量軍艦、飛機擾台，台海現狀是否被中國改變；蓬佩奧指出，習近平正試圖改變現狀，「你們的政府將必須做出更多複雜的抉擇，來防止這樣的企圖，而我們也應該提供最大的後援，來力堵片面改變現狀」。至於是否支持台灣加入聯合國，蓬佩奧說，美方向來樂見，但不僅僅於聯合國，而是攸關所有的國際組織，台灣應該占有一席之地，台灣應該有所發揮，在這些重要的組織適得其所，台灣能助益良多，讓這些組織更好運作。蓬佩奧黃偉哲推特秀蓬佩奧合照  遭中國網民出征陸抨擊蓬佩奧訪台  陸委會：中共無權置喙戴維森金融時報：企業擔憂台海開戰 風險簡報需求大增|https://www.cna.com.tw/news/aipl/202209290394.aspx|
aipl_20220929_3|2022-09-29|政治|賴清德：支持林佳龍就是做總統後盾肯定蘇貞昌|民進黨新北市長參選人林佳龍今晚和立委余天合體造勢吸引擠爆支持民眾；副總統賴清德籲民眾支持林佳龍就是期待市政進步、願做總統蔡英文後盾及肯定行政院長蘇貞昌。林佳龍和余天三重聯合競選總部今晚舉辦成立大會，讓三重區綜合體育館向日葵廣場擠滿支持民眾。主持人立委羅致政和蘇巧慧等人表示，現場人數超過6000人。才歷經女兒余苑綺過世喪女之痛的余天現身時，現場響起掌聲，余天也先就身體狀況向大家報告說，他日前主動脈堵塞，但現在身體沒有問題。女兒過世了，很多人鼓勵他要放下，而他也一定要放下。他表示，他認識侯友宜（國民黨新北市長參選人）40年，既然侯要選總統，為何還要選新北市長，1年後又要再選，浪費資源，籲大家支持林佳龍來當選。林佳龍表示，國民黨在新北執政17年，已有很多問題浮現，侯友宜口中說好好做事，心中想的是2024，籲大家不要浪費選票。他細數各項政見並籲支持，讓新北大翻新，要有新首都的大格局。副總統賴清德壓軸為現場氣氛掀起高潮，他首先就說明支持林佳龍的3大理由，首先就是為了新北市的進步，要求更好的市政，因為遠見及天下雜誌對各縣市的評鑑，新北市這幾年市政表現退步了。其次是肯定蘇貞昌就是支持林佳龍，從蘇貞昌這3年來表現讓人肯定，他感謝蘇貞昌的付出，肯定蘇貞昌最好的辦法就是支持林佳龍，林佳龍一定能做出像蘇貞昌的表現。第3點理由就是呼籲大家當蔡總統的後盾，當前國際局勢複雜，台灣面對很大挑戰，蔡總統冷靜理性，秉持和平、對等、民主、對話4大原則處理兩岸關係，受到打壓也不退縮，也不願意走回過去對抗的老路，這樣政策深受國際社會肯定和信賴。賴副總統表示，台灣人民團結堅持民主，在中國軍事演習時，各國官員議員仍紛來台表達對台灣的支持，因此，要藉這次選舉讓國際人士知道台灣人民支持民主路線，呼籲支持民進黨提名人選，來做蔡總統後盾，讓蔡總統有更好民意及力量來面對國內外挑戰，讓台灣更穩定。林佳龍台日青創經驗交流會  林佳龍：帶領新北國際接軌蔡總統：提高產業競爭力  成全球供應鏈關鍵力量蘇貞昌10/13開放國門 桃機規劃動線逐步恢復商業規模行政院修法  保障少年人身自由、落實正當法律程序|https://www.cna.com.tw/news/aipl/202209290368.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20220929/1024x768_20220929000212.jpg
aipl_20220929_4|2022-09-29|政治|韓駐台代表：台韓半導體業緊密相連使彼此獲益|韓國駐台代表鄭炳元今天在韓國國慶酒會致詞指出，台韓產業具互補性，例如半導體產業占韓國對台出口逾44%，占台灣對韓出口逾66%，這顯示「雙方緊密相連的半導體業使彼此都能獲益」。駐台北韓國代表部今晚舉行國慶酒會，外交部次長田中光、總統府秘書長李大維、法務部長蔡清祥、行政院經貿談判辦公室談判總代表鄧振中、親民黨主席宋楚瑜等皆出席。田中光致詞時表示，近年印太區域情勢快速變遷，極權國家對國際秩序威脅日增，台韓同為印太區域民主國家，對區域和平穩定休戚與共，期許兩國在既有雙邊合作基礎上繼往開來。鄭炳元致詞時表示，他去年12月來台前，常聽朋友說一定會被台灣的自然與文化「迷住」，他上任後有幸攀爬玉山和造訪高雄、澎湖，且一有空檔就會到台北夜市品嘗小吃，讓他領悟了朋友所言不虛。鄭炳元表示，其中讓他最印象深刻的，是溫暖、有人情味的台灣人，讓他不得不對一句名言表示贊同，亦即「台灣有很多寶藏，但最珍貴的寶藏是台灣人」。鄭炳元表示，台韓貿易規模在2021年超過500億美元，互為第5大貿易對象，有人認為台韓產業結構相似，彼此是競爭關係，但仔細比對雙方貿易項目後才能了解，台韓其實有高度互補性。鄭炳元舉例，半導體產業在韓國對台灣出口占比超過44%，在台灣對韓國出口占比超過66%，這顯示雙方緊密相連的半導體產業使彼此都能獲益。訂閱《早安世界》電子報 每天3分鐘掌握10件天下事 請輸入正確的電子信箱格式訂閱感謝您的訂閱！鄭炳元也強調台韓文化交流密切，韓流戲劇與韓星BTS等在台灣知名度大，台灣電視劇「想見你」也在韓國引起廣大迴響，男主角許光漢在首爾舉辦的見面會吸引超過4000位粉絲，他相信下個月邊境開放後，韓台交流將比以往更興旺。韓國是否將加入由美方主導的美日台韓「晶片四方聯盟」（Chip 4）備受矚目。根據韓聯社報導，Chip 4昨天舉行首次預備會議，韓方由駐台北韓國代表部作為首席代表出席，韓國對於是否將參與工作小組正式會議尚未決定。鄭炳元駐台使節瘋爬山 加拿大、韓國代表同登玉山頂台韓觀光交流會議登場  為重啟旅遊準備田中光台灣國際漁業展、智慧農業週開幕 逾15國參展印尼舉辦國慶酒會 駐台代表盼深化與台經貿關係|https://www.cna.com.tw/news/aipl/202209290365.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20220929/977x768_20220929000216.jpg
aipl_20220929_5|2022-09-29|政治|警械條例修法朝野共識 4種危急情境警員可逕行開槍|（中央社記者郭建伸、王承中台北29日電）台南殺警案促成立法院加速討論警械使用條例修法。朝野黨團今天達成共識，明定警察人員面臨犯罪嫌疑人持有致命性武器或攻擊意圖等4種情境，若認為將危及自身生命、身體，得使用槍械逕行射擊。立法院程序委員會日前排定30日院會議程，將警械使用條例修正草案排入院會討論事項。由於朝野黨團今天達成協商共識，預料警械使用條例明天將順利三讀修正。立法院內政委員會2020年12月28日初審通過警械使用條例，明定警員執行勤務時，若自身生命受到威脅且無法有效使用警械時，得使用其他物品代替警械。但內政部成立調查小組調查警械致死等關鍵條文，則保留送交協商。今年8月發生的台南殺警案引發外界關注警械使用條例、外役監條例修法，朝野黨團本會期都將這兩案列為優先法案。立法院長游錫堃今天下午召集朝野協商，討論警械使用條例部分條文修正草案。開槍時機一直是許多警員憂慮的問題，民進黨團總召柯建銘在協商時提出修正動議，明確規範警察人員認為犯罪嫌疑人將危及其自身或他人生命、身體時，得使用槍械逕行射擊。民進黨團修正動議羅列4種警員得使用槍械逕行射擊的情境，包含嫌犯以致命性武器、危險物品或交通工具等攻擊、傷害、挾持、脅迫警察人員或他人時；有事實足認嫌犯持有致命性武器或危險物品意圖攻擊警察人員或他人時；嫌犯意圖奪取警察人員配槍或其他可能致人傷亡之裝備時；其他危害警察人員或他人生命或身體，情況急迫時。雖然在野黨立委一度認為，過度明確規範情境，反而限縮警員面對危急情況時的反應，不過警政署長黃明昭在協商時表示，現行條文用槍時機定義模糊，基層員警在現場常會遲疑拿捏用槍時機，若能給予明確時機，就能大膽用槍枝，也能讓社會大眾知道警察用槍時機。朝野立委討論過後，決定採納民進黨團所提版本，明確定義警察人員面臨犯罪嫌疑人持有致命性武器或攻擊意圖等4種情境，得使用槍械逕行射擊。此外，初審未達成共識的調查小組條文，朝野經討論後也決議採用民進黨團版本。協商共識條文明定，內政部應遴聘相關機關代表及專家學者組成調查小組，得依職權或依司法警察機關申請，就所屬人員使用警械致人死亡或重傷時，其警械使用時機、過程與相關行政責任進行調查及提供意見，調查小組判斷警械使用妥適得考量警員當時的合理認知。|https://www.cna.com.tw/news/aipl/202209290358.aspx|https://imgcdn.cna.com.tw/www/webphotos/WebCover/420/20220929/2000x1500_519221277671.jpg
aipl_20220929_6|2022-09-29|政治|邊境開放 外交部：10/13起全面恢復簽證便捷措施|外交部今天表示，配合中央流行疫情指揮中心公告，自10月13日起開放非免簽證國家得以「一般性社會訪問」及「觀光」事由申請來台簽證，將全面恢復簽證便捷措施與正常簽證辦理流程。配合開放邊境管制措施，外交部發布新聞稿指出，將調整外籍人士來台規範，首先將「全面恢復簽證便捷措施」，符合資格的外籍人士得以落地簽證方式來台，或事先申請電子簽證及內政部移民署「東南亞國家人民來台先行上網查核系統」入境憑證。外交部指出，東南亞國家優質團體旅客來台觀光（觀宏專案）相關申請事宜，將按主管機關交通部觀光局所訂開放期程受理。「全面恢復正常簽證辦理流程」方面，外交部指出，外籍人士得依其來台事由（含一般性社會訪問及觀光），備妥相關文件向外交部駐外館處申請來台簽證。外交部說，有關簽證應備文件及申請手續，請參考外交部領事事務局全球資訊網。至於內政部移民署「東南亞國家人民來台先行上網查核系統」入境憑證申請資訊，請參考內政部移民署網站公告。外交部指出，目前入境人數仍採總量管制，當事人入境應遵守指揮中心各項防疫措施。|https://www.cna.com.tw/news/aipl/202209290350.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20220930/1152x768_wmky_684258408452.jpg
aipl_20220929_7|2022-09-29|政治|黃偉哲推特秀蓬佩奧合照  遭中國網民出征|民進黨立委王定宇昨天中午邀請前美國國務卿蓬佩奧（Michael Pompeo）到台南餐敘，與會的台南市長黃偉哲隨後在推特（Twitter）秀出與蓬佩奧合照，引來中國網民謾罵攻擊。蓬佩奧的訪台行程昨天造訪台南，王定宇與黃偉哲、前外交部長陳唐山等人在歸仁區的阿勇師漂亮莊園設宴款待，黃偉哲並送上印有台美雙方國旗的蘭花、優質果乾以及蝦餅等展現台南在地特色的禮物。隨後黃偉哲於推特貼出一張與蓬佩奧的合照，因蓬佩奧長期以來鼎力支持台灣主權的態度鮮明，發布照片後不久，即引起中國網民關注，並留下一些不堪的粗俗字眼，讓台灣網友直搖頭。黃偉哲推特遭中國網民出征不是第一次，今年8月美國眾議院議長裴洛西（Nancy Pelosi）率領眾議院訪問團訪問台灣，黃偉哲發表歡迎圖卡，也隨即遭到中國網民瘋狂式謾罵攻擊。黃偉哲媽媽和太太都是老師 黃偉哲貼文賀教師節台南推再生水供產業製程 南科配水池將完工蓬佩奧陸抨擊蓬佩奧訪台  陸委會：中共無權置喙蓬佩奧訪台南獲贈特產 一眼認出鳳梨乾|https://www.cna.com.tw/news/aipl/202209290339.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20220929/1200x1800_wmkn_09902192894.jpg
aipl_20220929_8|2022-09-29|政治|國考試題疑義申請期限5天改為3天 112年起實施|考試院會今天通過，修正國家考試試題疑義處理辦法第2條，將試題疑義申請期限，由5日修正為3日，以符合實際作業需求，預計從112年開始適用。考試院透過新聞稿指出，近年專技人員考試，如護理師考試都採測驗式試題類科，為因應職場用人需求，榜示日期已提前，處理試題疑義的實際作業時間，因而受到壓縮。考選部說，考量到試題疑義的處理，須就各應考人提出的爭點內容或佐證資料，給予委員充裕時間蒐集資料，並提出書面釋復意見，以供試題疑義會議充分討論；為避免作業時間壓縮影響試題疑義處理品質，因此修正應考人提出試題疑義申請期限的規定，以維護考試公平性。考試院表示，將試題疑義申請期限由5日修正為3日，並不影響應考人權益。回顧過去考試院在100年8月10日修正國家考試試題疑義處理辦法，將申請期限調整為5日的緣由，是考量當時應考人使用線上申請試題疑義比率偏低，多以紙本申請為主，較為耗時。考試院說，但從107年起，應考人申請試題疑義已全面採線上方式，已大幅提高應考人提出試題疑義的速度與便利性，並順利實施多年。訂閱《早安世界》電子報 每天3分鐘掌握10件天下事 請輸入正確的電子信箱格式訂閱感謝您的訂閱！考試院指出，現行各項國家考試筆試，在各該節考試結束後，應考人就可取得考畢試題，掌握試題內容，若有疑義，在全部筆試結束的次日，登入考選部網路報名資訊系統，就可申請，且系統24小時開放，隨時可提出，不受時間、地點限制。考試院說，相較以往紙本申請需交寄郵局，受營業時間限制，線上申請更加即時、快速便捷。為使試題疑義的處理有充裕時間，以確保其品質，因此將試題疑義申請期限由5日修正為3日，以符合實際作業需求。|https://www.cna.com.tw/news/aipl/202209290319.aspx|
aipl_20220929_9|2022-09-29|政治|國防部：偵獲共機11架次 1架次侵擾西南ADIZ|國防部今天指出，截至下午5時，偵獲共機11架次（其中1架次侵擾西南防空識別區）、共艦4艘次，持續於台灣周邊海空域活動。國防部晚間發布新聞稿表示，國軍運用任務機、艦及岸置飛彈系統，嚴密監控與應處。根據空軍公布的「台海周邊空域活動示意圖」顯示，1架次運8反潛機侵犯台灣西南防空識別區（ADIZ）。1110929|https://www.cna.com.tw/news/aipl/202209290314.aspx|
aipl_20220929_10|2022-09-29|政治|陳時中提北市社宅4年達5.7萬戶  租金採量能付費|民進黨台北市長參選人陳時中今天與民團進行住宅政策座談會，提出4年讓台北市社宅達到5.7萬戶目標，代表有1.1萬戶須從找地開始努力，而租金將調整為量能付費原則。陳時中下午前往社會住宅推動聯盟辦公室舉行社會住宅政策座談會，社會住宅推動聯盟召集人、OURs都市改革組織秘書長彭揚凱會前向媒體表示，已向各主要參選人發出邀請，預計在10月下旬舉行記者會公布各參選人社宅主張的評比。彭揚凱說，日前已與無黨籍台北市長參選人黃珊珊進行交流，正等候國民黨台北市長參選人蔣萬安團隊回覆；陳時中很客氣，主動到聯盟辦公室拜訪，將當面向陳時中提出訴求，並針對細節討論。座談開始後，陳時中致詞表示，建立長久社宅政策是必要的，他的目標是若卸任時台北已有5.7萬戶社宅，包含4萬戶由政府興建及1.7萬戶包租代管，先把量講清楚以展現決心，過程盡量努力。陳時中說明，台北市目前共約有1.1萬戶已完工社宅，近9000戶正在興建，還有9000戶規劃中，另外1.1萬戶須從找地開始努力；包租代管則要每年將新增2500戶。陳時中指出，付費方式傾向採以人為本的量能付費原則，看需要的人有多少能力，差額由政府負擔，否則光是劃出政策大餅卻無法照顧到民眾，這個政策就無用。彭揚凱建議，除了政府積極興建外，還可以比照美國紐約等大都市，強制要求透過都市開發獲利的建商回饋社宅，台北市房地產價格高，相對有能力做出行動，能更快速達到5.7萬戶的目標。彭揚凱進一步表示，未來可能面臨到中央、地方蓋的社宅管理規則不同，台北市應與中央協調，由接地氣、可反映民意的地方政府統一管理；住社宅的方式應從現行抽籤制改為輪候制，讓當權者看到有這麼多人正在等候，自然形成民意壓力，促使政府繼續興建社宅。陳時中回應，輪候制的確有好處，快排到的民眾可以預先準備，且民代也不會阻擋預算，但細節需要再討論，包含透過自治條例或入法產生拘束力，且以公平性而言爭議性很大，優先條件須列很清楚。至於要求建商回饋社宅，陳時中說，台北市面臨最大的問題就是地不足，將來應修法限制政府，若非特殊情形，否則不應再賣地了，財源有其它方式可以獲得。陳時中接受媒體聯訪表示，蓋社宅困難，但不能不做，現在訂定目標不只是約束自己，也是讓議會明白他的決心，這樣才有可能性，將來已有規劃的9000戶要趕快進行，並積極替剩下1.1萬戶覓地。陳時中曾指蔣萬安參選後像起乩 陳時中致歉大巨蛋政見遭陳時中質疑 蔣萬安批連疫苗都買不到彭揚凱返鄉投票 巢運：背後隱含租屋族設籍與公民權問題|https://www.cna.com.tw/news/aipl/202209290285.aspx|https://imgcdn.cna.com.tw/www/WebPhotos/200/20220929/1152x768_20220929000183.jpg
